date,country_code,country_name,us_bond_survey_pos,us_bond_adj_net_flow,us_bond_adj_val_chg,us_bond_monthly_gap,us_bond_est_pos,us_stk_survey_pos,us_stk_adj_net_flow,us_stk_adj_val_chg,us_stk_monthly_gap,us_stk_est_pos
1/31/2012,32409,TrinidadTobago,ND,-15,22,-44,1105,ND,-4,1,2,2
1/31/2012,32603,Uruguay,ND,-100,-5,81,2173,ND,-33,0,33,1
1/31/2012,32719,Venezuela,ND,-28,542,221,9230,ND,6,20,-10,78
1/31/2012,34401,CaribTotal,ND,1665,3501,-4566,259036,ND,1748,57601,-27307,767430
1/31/2012,35254,Aruba,ND,-17,10,9,549,ND,1,0,-1,0
1/31/2012,35319,Bahamas,ND,-691,17,729,1349,ND,-31,267,-27,3370
1/31/2012,35602,Bermuda,ND,-611,461,-520,24734,ND,296,9181,-4928,139631
1/31/2012,35807,BritishVI,ND,463,98,-966,4725,ND,-795,3407,1016,46545
1/31/2012,36137,Cayman,ND,3626,2547,-4416,219951,ND,-160,32261,-13314,506695
1/31/2012,36188,Curacao,ND,,,,,ND,,,,
1/31/2012,37206,NethAnt,ND,-418,61,336,3843,ND,53,6357,-1547,70708
1/31/2012,39001,CaribBanking,ND,1398,3067,-3952,258755,ND,976,47224,-16798,782530
1/31/2012,39942,LATotal,ND,865,4606,-805,143088,ND,1438,28325,-713,281064
1/31/2012,41408,China,ND,173,9,-176,1955,ND,-434,9479,-5346,78426
1/31/2012,42005,HongKong,ND,-632,51,495,2820,ND,3323,9744,-2651,122690
1/31/2012,42102,India,ND,-699,37,644,2855,ND,389,11464,-137,66772
1/31/2012,42218,Indonesia,ND,-70,139,409,12352,ND,338,1027,206,28739
1/31/2012,42501,Israel,ND,10,-144,9,18413,ND,-20,3335,286,40803
1/31/2012,42609,Japan,ND,-59,604,1243,59168,ND,-329,17635,764,409411
1/31/2012,43001,Korea,ND,1013,613,-20,29185,ND,1544,11807,-1682,128325
1/31/2012,43419,Lebanon,ND,9,0,-158,158,ND,3,22,-35,143
1/31/2012,43605,Malaysia,ND,917,497,-1394,10616,ND,-29,878,33,21646
1/31/2012,44806,Philippines,ND,-47,106,-2003,6134,ND,11,956,-26,10205
1/31/2012,46019,Singapore,ND,284,283,-416,9902,ND,-274,6812,431,54956
1/31/2012,46302,Taiwan,ND,-12,2,0,337,ND,342,6500,284,78926
1/31/2012,46418,Thailand,ND,-63,32,105,1936,ND,328,1718,-78,23261
1/31/2012,46604,UAE,ND,87,-30,-287,3880,ND,-47,156,26,1141
1/31/2012,49999,AsiaTotal,ND,462,2152,-1770,169919,ND,5161,82124,-9639,1067711
1/31/2012,53201,Liberia,ND,-2,30,-78,1830,ND,11,178,181,2474
1/31/2012,53805,Mauritius,ND,-2,1,173,222,ND,-88,499,-325,4803
1/31/2012,55719,SouthAfrica,ND,657,327,-463,12458,ND,61,4387,-995,62017
1/31/2012,57002,Egypt,ND,-648,69,-163,936,ND,0,401,235,3380
1/31/2012,59994,AfricaTotal,ND,71,471,-536,17583,ND,183,6401,-2149,74202
1/31/2012,60089,Australia,ND,-4271,3128,-4943,135904,ND,285,11264,1308,141503
1/31/2012,61689,NZealand,ND,-79,386,-813,10632,ND,-49,219,-1,3362
1/31/2012,66666,EME,ND,-427,8211,-3319,309441,ND,7081,109710,-12646,1095642
1/31/2012,69995,ForeignAll,ND,-13714,36643,-36409,1919682,ND,4366,296276,-18214,4783850
1/31/2012,79995,IROTotal,ND,-653,576,-3312,42491,ND,85,10,217,328
1/31/2012,99996,Total,ND,-14367,38350,-40687,1962338,ND,4451,295276,-14329,4786836
2/29/2012,10189,Austria,ND,-171,67,-158,5408,ND,52,568,-96,7105
2/29/2012,10251,Belgium,ND,7999,111,-7578,4815,ND,17,2562,-32,30805
2/29/2012,10502,Denmark,ND,-8,70,-61,7154,ND,153,4913,24,39113
2/29/2012,10707,Finland,ND,73,52,-38,3982,ND,-6,1551,131,20551
2/29/2012,10804,France,ND,-1466,1270,3376,92142,ND,404,15605,-236,235298
2/29/2012,11002,Germany,ND,-229,1296,250,82321,ND,-112,16187,177,207758
2/29/2012,11207,Greece,ND,14,-35,78,724,ND,-12,-279,223,3181
2/29/2012,11401,Ireland,ND,346,308,-258,35323,ND,-409,6796,1801,128642
2/29/2012,11509,Italy,ND,-1439,1067,2904,23436,ND,132,2281,1005,47446
2/29/2012,11703,Luxembourg,ND,8047,283,-4705,64769,ND,159,1853,177,33074
2/29/2012,12009,Monaco,ND,9,0,-8,1,ND,-8,8,-53,16
2/29/2012,12106,Netherlands,ND,-5725,791,5946,108357,ND,189,5837,1546,134073
2/29/2012,12203,Norway,ND,-2494,498,2188,28644,ND,277,3435,-483,24923
2/29/2012,12319,Portugal,ND,67,80,46,909,ND,46,202,90,3769
2/29/2012,12505,Spain,ND,-974,261,879,21708,ND,401,943,554,56456
2/29/2012,12602,Sweden,ND,-491,358,2714,36171,ND,-15,6163,-1227,61824
2/29/2012,12688,Switzerland,ND,-762,164,605,5150,ND,826,13731,617,302922
2/29/2012,12807,Turkey,ND,-412,320,404,11339,ND,134,1425,-365,21520
2/29/2012,13005,UK,ND,-420,1335,893,276346,ND,1575,30565,-751,697439
2/29/2012,13006,Guernsey,ND,48,5,-127,3649,ND,105,865,-111,14779
2/29/2012,13007,Jersey,ND,-35,46,492,4949,ND,62,1626,8,38513
2/29/2012,15288,CzechRep,ND,10,12,40,555,ND,16,257,59,4335
2/29/2012,15768,Poland,ND,-73,899,657,19349,ND,18,321,319,8236
2/29/2012,16101,Russia,ND,-12,123,37,8783,ND,-54,4664,1488,56267
2/29/2012,16713,EuroArea,ND,6520,5603,863,443649,ND,849,54175,5059,907858
2/29/2012,19992,EurTotal,ND,1890,9961,9101,862758,ND,3458,122631,6788,2187708
2/29/2012,29998,Canada,ND,6067,2545,1544,350419,ND,-162,13583,602,400005
2/29/2012,30104,Argentina,ND,-293,-79,496,6988,ND,-9,-635,320,2837
2/29/2012,30155,Barbados,ND,-110,48,6,1493,ND,4,3,73,95
2/29/2012,30309,Brazil,ND,1,838,5684,47623,ND,298,9432,1824,190108
2/29/2012,30406,Chile,ND,663,-73,-374,12034,ND,-20,1057,-82,12992
