"Hoofdpost","Subpost 1","Subpost 2","Sector","Subsector","&label7","Period ","waarde"
"Net portfolio investment ","Net debt securities ","Total ","Total ","Total ","Total ","2005Q2",-361747
"Net portfolio investment ","Net debt securities ","Total ","Total ","Total ","Total ","2005Q3",-344331
"Net portfolio investment ","Net debt securities ","Total ","Total ","Total ","Total ","2005Q4",-334039
"Net portfolio investment ","Net debt securities ","Total ","Total ","Total ","Total ","2006Q1",-355230
"Net portfolio investment ","Net debt securities ","Total ","Total ","Total ","Total ","2006Q2",-377849
"Net portfolio investment ","Net debt securities ","Total ","Total ","Total ","Total ","2006Q3",-385754
"Net portfolio investment ","Net debt securities ","Total ","Total ","Total ","Total ","2006Q4",-396828
"Net portfolio investment ","Net debt securities ","Total ","Total ","Total ","Total ","2007Q1",-415989
"Net portfolio investment ","Net debt securities ","Total ","Total ","Total ","Total ","2007Q2",-444133
"Net portfolio investment ","Net debt securities ","Total ","Total ","Total ","Total ","2007Q3",-429231
"Net portfolio investment ","Net debt securities ","Total ","Total ","Total ","Total ","2007Q4",-424274
"Net portfolio investment ","Net debt securities ","Total ","Total ","Total ","Total ","2008Q1",-455046
"Net portfolio investment ","Net debt securities ","Total ","Total ","Total ","Total ","2008Q2",-490371
"Net portfolio investment ","Net debt securities ","Total ","Total ","Total ","Total ","2008Q3",-492832
"Net portfolio investment ","Net debt securities ","Total ","Total ","Total ","Total ","2008Q4",-543406
"Net portfolio investment ","Net debt securities ","Total ","Total ","Total ","Total ","2009Q1",-585114
"Net portfolio investment ","Net debt securities ","Total ","Total ","Total ","Total ","2009Q2",-573633
"Net portfolio investment ","Net debt securities ","Total ","Total ","Total ","Total ","2009Q3",-586693
"Net portfolio investment ","Net debt securities ","Total ","Total ","Total ","Total ","2009Q4",-581394
"Net portfolio investment ","Net debt securities ","Total ","Total ","Total ","Total ","2010Q1",-621394
"Net portfolio investment ","Net debt securities ","Total ","Total ","Total ","Total ","2010Q2",-648529
"Net portfolio investment ","Net debt securities ","Total ","Total ","Total ","Total ","2010Q3",-664792
"Net portfolio investment ","Net debt securities ","Total ","Total ","Total ","Total ","2010Q4",-677495
"Net portfolio investment ","Net debt securities ","Total ","Total ","Total ","Total ","2011Q1",-677285
"Net portfolio investment ","Net debt securities ","Total ","Total ","Total ","Total ","2011Q2",-731423
"Net portfolio investment ","Net debt securities ","Total ","Total ","Total ","Total ","2011Q3",-732185
"Net portfolio investment ","Net debt securities ","Total ","Total ","Total ","Total ","2011Q4",-733124
"Net portfolio investment ","Net debt securities ","Total ","Total ","Total ","Total ","2012Q1",-772764
"Net portfolio investment ","Net debt securities ","Total ","Total ","Total ","Total ","2012Q2",-769691
"Net portfolio investment ","Net debt securities ","Total ","Total ","Total ","Total ","2012Q3",-749216
"Net portfolio investment ","Net debt securities ","Total ","Total ","Total ","Total ","2012Q4",-721502
"Net portfolio investment ","Net debt securities ","Total ","Total ","Total ","Total ","2013Q1",-713463
"Net portfolio investment ","Net debt securities ","Total ","Total ","Total ","Total ","2013Q2",-715663
"Net portfolio investment ","Net debt securities ","Total ","Total ","Total ","Total ","2013Q3",-707000
"Net portfolio investment ","Net debt securities ","Total ","Total ","Total ","Total ","2013Q4",-684485
"Net portfolio investment ","Net debt securities ","Total ","Total ","Total ","Total ","2014Q1",-700810
"Net portfolio investment ","Net debt securities ","Total ","Total ","Total ","Total ","2014Q2",-697404
"Net portfolio investment ","Net debt securities ","Total ","Total ","Total ","Total ","2014Q3",-673715
"Net portfolio investment ","Net debt securities ","Total ","Total ","Total ","Total ","2014Q4",-668095
"Net portfolio investment ","Net debt securities ","Net short term debt securities ","Total ","Total ","Total ","2003Q2",-44743.5
"Net portfolio investment ","Net debt securities ","Net short term debt securities ","Total ","Total ","Total ","2003Q3",-40221
"Net portfolio investment ","Net debt securities ","Net short term debt securities ","Total ","Total ","Total ","2003Q4",-36287.9
"Net portfolio investment ","Net debt securities ","Net short term debt securities ","Total ","Total ","Total ","2004Q1",-44381.8
"Net portfolio investment ","Net debt securities ","Net short term debt securities ","Total ","Total ","Total ","2004Q2",-39943.1
"Net portfolio investment ","Net debt securities ","Net short term debt securities ","Total ","Total ","Total ","2004Q3",-33732.4
"Net portfolio investment ","Net debt securities ","Net short term debt securities ","Total ","Total ","Total ","2004Q4",-22147.7
"Net portfolio investment ","Net debt securities ","Net short term debt securities ","Total ","Total ","Total ","2005Q1",-26283.2
"Net portfolio investment ","Net debt securities ","Net short term debt securities ","Total ","Total ","Total ","2005Q2",-22982.7
"Net portfolio investment ","Net debt securities ","Net short term debt securities ","Total ","Total ","Total ","2005Q3",-26281.1
"Net portfolio investment ","Net debt securities ","Net short term debt securities ","Total ","Total ","Total ","2005Q4",-26795
"Net portfolio investment ","Net debt securities ","Net short term debt securities ","Total ","Total ","Total ","2006Q1",-32515
"Net portfolio investment ","Net debt securities ","Net short term debt securities ","Total ","Total ","Total ","2006Q2",-34825.4
"Net portfolio investment ","Net debt securities ","Net short term debt securities ","Total ","Total ","Total ","2006Q3",-39117.1
"Net portfolio investment ","Net debt securities ","Net short term debt securities ","Total ","Total ","Total ","2006Q4",-26151.5
"Net portfolio investment ","Net debt securities ","Net short term debt securities ","Total ","Total ","Total ","2007Q1",-46593.8
"Net portfolio investment ","Net debt securities ","Net short term debt securities ","Total ","Total ","Total ","2007Q2",-47251.7
"Net portfolio investment ","Net debt securities ","Net short term debt securities ","Total ","Total ","Total ","2007Q3",-53725.6
"Net portfolio investment ","Net debt securities ","Net short term debt securities ","Total ","Total ","Total ","2007Q4",-24788
"Net portfolio investment ","Net debt securities ","Net short term debt securities ","Total ","Total ","Total ","2008Q1",-42315.7
"Net portfolio investment ","Net debt securities ","Net short term debt securities ","Total ","Total ","Total ","2008Q2",-42394.5
"Net portfolio investment ","Net debt securities ","Net short term debt securities ","Total ","Total ","Total ","2008Q3",-57137.3
"Net portfolio investment ","Net debt securities ","Net short term debt securities ","Total ","Total ","Total ","2008Q4",-106098
"Net portfolio investment ","Net debt securities ","Net short term debt securities ","Total ","Total ","Total ","2009Q1",-90730.6
"Net portfolio investment ","Net debt securities ","Net short term debt securities ","Total ","Total ","Total ","2009Q2",-85199.3
"Net portfolio investment ","Net debt securities ","Net short term debt securities ","Total ","Total ","Total ","2009Q3",-98967.2
"Net portfolio investment ","Net debt securities ","Net short term debt securities ","Total ","Total ","Total ","2009Q4",-92867.9
"Net portfolio investment ","Net debt securities ","Net short term debt securities ","Total ","Total ","Total ","2010Q1",-90270.1
"Net portfolio investment ","Net debt securities ","Net short term debt securities ","Total ","Total ","Total ","2010Q2",-89500.9
"Net portfolio investment ","Net debt securities ","Net short term debt securities ","Total ","Total ","Total ","2010Q3",-110756
"Net portfolio investment ","Net debt securities ","Net short term debt securities ","Total ","Total ","Total ","2010Q4",-110395
"Net portfolio investment ","Net debt securities ","Net short term debt securities ","Total ","Total ","Total ","2011Q1",-118993
"Net portfolio investment ","Net debt securities ","Net short term debt securities ","Total ","Total ","Total ","2011Q2",-132089
"Net portfolio investment ","Net debt securities ","Net short term debt securities ","Total ","Total ","Total ","2011Q3",-130628
"Net portfolio investment ","Net debt securities ","Net short term debt securities ","Total ","Total ","Total ","2011Q4",-125094
"Net portfolio investment ","Net debt securities ","Net short term debt securities ","Total ","Total ","Total ","2012Q1",-147129
"Net portfolio investment ","Net debt securities ","Net short term debt securities ","Total ","Total ","Total ","2012Q2",-134780
